date,observation_or_problem,action_or_experiment,result,decision
2026-09-09 23:00,"Needed a specific, falsifiable hypothesis before API credentials would be issued.","Reviewed the Massive API documentation and drafted a research proposal around clustered insider buying, including a fundamentals-based health filter (debt-to-equity).","Proposal submitted naming Form 4 filings, price aggregates, and fundamentals (market_cap, debt_to_equity) as the intended datasets.",Submit proposal and await API credentials before touching real data.
2026-09-11 20:32,No working pipeline existed yet for the proposed hypothesis.,"Author used Google Gemini to generate and edit the original five-module pipeline baseline: universe scanner, data client, signal engine, backtester, orchestrator.",Basic end-to-end run worked on placeholder logic.,Proceed to wire in real Massive API data and real filters.
2026-09-11 20:37,README lacked setup and quickstart detail for a reproducible pipeline.,"Author used Google Gemini to help rewrite README with quickstart, configuration, and pipeline-component documentation.",Clear setup instructions now exist for a new environment.,"Keep README as a living document, update as modules change."
2026-09-12 10:05,Repo tracked cache/venv/editor files that should never be committed.,Cleaned up and expanded .gitignore for a standard Python project.,".env, data/, venv, and cache directories excluded from version control.",Keep .gitignore current as new local-only paths appear.
2026-09-12 11:00,Phase 1 (16 hand-picked tickers) looked profitable in an early smoke test.,Reviewed how the 16 tickers were chosen.,Selection was manual and too small a sample to trust; a clear selection bias risk.,"Reject Phase 1, move to a dynamically discovered full-market universe."
2026-09-12 11:15,"Phase 2 (~5,500-ticker universe, no filters) showed near-zero Sharpe and a max gain of +33,580%.",Inspected the outlier trades driving the absurd max gain.,Unadjusted stock splits were corrupting raw price data for several tickers.,Add a data-quality guard before trusting any full-universe run again.
2026-09-12 11:30,Needed to confirm the split-corruption fix actually worked.,Added a $5 MIN_PRICE floor and re-ran the full universe.,"Split distortion resolved, but mean return and Sharpe stayed flat-to-negative on 60/90-day holds.",Keep investigating filters; a price floor alone is not sufficient.
2026-09-12 11:45,Still no configuration produced a positive edge at any holding period.,Added a $100k minimum cluster value and a trailing stop from entry (Phase 4).,"Noise trades cut by 87%, but mean return and Sharpe stayed negative everywhere, and win rate decayed from 30 to 90 days.","Diagnose root cause before adding more filters: insiders are naturally contrarian, fixed-time exits let spikes decay, trailing stops whipsaw on gap-downs."
2026-09-12 12:48,Raw insider clustering had no notion of routine vs. opportunistic buying.,"Added opportunistic-vs-routine insider classification (Cohen/Malloy/Pomorski) and self-relative conviction sizing, tested on real Massive data.","Filters wired correctly, but the first full-market real-data run still returned negative Sharpe at every holding period.",Signal is not real yet; keep refining rather than reverting to placeholder logic.
2026-09-12 14:38,Wanted to test an earnings-proximity timing filter.,Wired fetch_short_interest and fetch_earnings into the data client and attempted to use both.,fetch_earnings() always returns empty; the account's Massive plan lacks the Benzinga earnings entitlement.,Drop the earnings-proximity idea for lack of data; keep the short-interest feed.
2026-09-12 15:18,"Insider buying alone was a weak, noisy contrarian signal.",Required short-side days-to-cover >= a threshold at signal time; swept 1.0/2.0/3.0/5.0.,2.0 won on both train and test Sharpe.,Adopt MIN_DAYS_TO_COVER = 2.0.
2026-09-12 15:39,A trailing-stop-only exit still produced negative Sharpe at every holding period.,"Tested 4 exit variations at 15%/30%: trail-only, trail+take-profit, fixed-stop+take-profit, fixed-stop-only.",Fixed 15% stop-loss + fixed 30% take-profit (no trailing) was the only configuration positive at every holding period.,"Adopt STOP_LOSS_PCT=0.15, TAKE_PROFIT_PCT=0.30, TRAILING_STOP=False as the new default exit rule."
2026-09-12 15:59,"Backtest ignored trading costs, an unrealistic assumption.",Added a 20 bps round-trip transaction cost (TRANSACTION_COST_PCT=0.002).,Edge shrank substantially but stayed positive at every holding period.,Keep 0.002 as the standing cost assumption for every later experiment.
2026-09-12 16:00,Worried the surviving edge was a fluke of the tuning window.,Ran a train (<=2024-06-30) / test (>=2024-07-01) walk-forward split at this stage.,"Result was mixed and weak, at or below the noise floor.",Treat the edge as unconfirmed; keep refining before trusting it.
2026-09-12 16:11,Wanted to see if the stronger MIN_DAYS_TO_COVER filter changed the walk-forward read.,Raised MIN_DAYS_TO_COVER from 1.0 to 2.0 and repeated the same train/test split.,Edge held its sign on both train and test for the first time in the project.,Upgrade the read from leans-toward-noise to a real but weak edge; proceed to universe filters.
2026-09-12 16:31,"Wanted to test whether a liquidity/quality floor would help, not just insider filters.",Added a $5 price floor and a $1M 20-day dollar-volume floor.,Turned every holding period negative (60-day total return went from +16.8% to -9.2%).,Reject the liquidity floor; keep MIN_PRICE=0.0 and MIN_DOLLAR_VOLUME=0.0. Edge concentrates in micro-caps.
2026-09-12 16:45,Had not yet tried the opposite of a liquidity floor: an upper ceiling to keep only the thinnest names.,Swept a MAX_DOLLAR_VOLUME ceiling: None / $29M / $12M / $2.5M.,"$12M looked good on train (Sharpe 0.064) but went negative on test (-0.058), an overfitting warning. $2.5M held up on both train and test; 60-day max drawdown fell from -38.3% to -10.5%, total return rose from +16.8% to +22.4%, portfolio Sharpe roughly tripled to 1.189.","Adopt MAX_DOLLAR_VOLUME = 2,500,000, the biggest single improvement found in the project so far."
2026-09-12 16:51,Wanted to check whether a price floor helps once the new dollar-volume ceiling is in place.,Retested the $5 MIN_PRICE floor on top of the $2.5M ceiling.,Hurt badly again; test Sharpe went negative at every holding period.,Keep MIN_PRICE=0.0 disabled; the edge is confirmed to concentrate below $5/share.
2026-09-12 17:00,Wanted to know if any single trade-level feature could justify extra position sizing.,"Ran a correlation check: cluster size, conviction ratio, days-to-cover, dollar volume, and entry price against trade_return.",Every feature came in under 0.02 correlation with trade_return.,Drop feature-based size tilting; no usable signal in these features.
2026-09-12 17:11,Static position sizing never let the account compound gains.,"Added mode=""compound"" (position size = current equity x position_size_pct) and swept the base rate 2%-15%.","Compounding beat static sizing on both return and Sharpe with no extra drawdown; the base-rate sweep showed Sharpe never changes under pure compounding, since it scales the whole return stream proportionally.","Adopt compounding as the new sizing default, pending the house-money comparison below."
2026-09-12 17:41,Wanted more upside from winning streaks without risking more of the original stake.,"Added mode=""house_money"", splitting equity into protected principal (sized at position_size_pct) and a profit cushion above initial capital (sized at a higher aggressive_pct); swept aggressive_pct 0.05-0.20.","0.08 gave the best Sharpe at every holding period for almost no extra drawdown, an actual improvement in curve shape, not just a rescaling.","Adopt SIZING_MODE=""house_money"", HOUSE_MONEY_AGGRESSIVE_PCT=0.08 as the default."
2026-09-12 17:45,Wanted an independent check that POSITION_SIZE_PCT=0.02 was not an arbitrary conservative guess.,"Computed full-Kelly (4.4%-5.9% depending on holding period) and half-Kelly (2.7%-3.0%), and separately derived a ~2.56% capital ceiling from the actual maximum concurrent open positions (39 at 60-day).","Half-Kelly and the independently derived capacity ceiling agree closely; using half-Kelly as the base rate did not improve on 2%, it just scaled return and drawdown up together.","Keep POSITION_SIZE_PCT=0.02 as a capital-realistic choice, confirmed rather than merely assumed."
2026-09-12 17:54,"This universe runs near-permanently crowded, averaging ~21 concurrent open positions.",Tested concurrency-throttle sizing: dividing new-trade size by (1 + decay_rate x num_open_positions).,Even mild decay cut total return by more than half for almost no Sharpe benefit.,Reject concurrency-throttle sizing; not adopted.
2026-09-12 18:00,Wondered if blending the 30/60/90-day sleeves would reduce volatility.,Tested splitting capital a third each across the 30/60/90-day holding-period sleeves.,"Underperformed the single best sleeve alone on both return and Sharpe, since the weakest sleeve drags the blend down.",Reject blending; keep a single-sleeve default.
2026-09-12 18:41,"A plain trailing stop had already been rejected, but the universe had since changed (the $2.5M ceiling).","Built a profit-activated trail (stays at the fixed stop until a trade is up trail_activation_pct, then trails at trail_pct, with the 30% take-profit still active as backstop) and swept activation 10%-80%.","50% activation / 15% trail is a clear peak: 60-day portfolio Sharpe rose from 1.280 to 2.139, total return from +31.8% to +109.4%, for only a small extra drawdown. A diagnostic showed only 32-46 of ~890 trades per period actually use the trail, and win rate barely moved.","Adopt TRAIL_ACTIVATION_PCT=0.50, TRAIL_PCT=0.15, confirmed as a genuine local peak via a fine grid around 40%-70%."
2026-09-12 19:00,Wanted to know if a more elaborate exit mechanic could beat the plain activation trail.,"Designed and tested 6 further ideas: no take-profit cap, two-stage partial exit, ratcheting trail width, ATR-based trail, time-gated activation, liquidity-tiered targets.","The best of these (ratcheting trail width, Sharpe 1.589) still fell well short of the plain activation trail.",None adopted; keep the simpler mechanic.
2026-09-12 19:30,User preferred a lower-risk setting over the data-optimal one.,Set TRAIL_ACTIVATION_PCT=0.30 per explicit user instruction.,"Lower risk, lower reward: 60-day Sharpe 1.276, total return 37.6%, versus 2.139/+109.4% at 50%.",Apply the user's choice; revisit later once more evidence (the stop-loss sweep) is in hand.
2026-09-12 19:54,"Wanted to see whether a wider stop-loss changes the activation trade-off, and whether to keep the 30% detour.",Swept fixed stop-loss 10%/15%/20%/25% crossed with trail activation.,"Widening 15%->20% at 30-day/50%-activation lifts total return from 103.3% to 132.3% for only a small extra drawdown (Sharpe 2.107->2.088); the same widening hurts 60-day, since STOP_LOSS_PCT and TRAIL_ACTIVATION_PCT are single global settings shared by every holding period; 25% pushes return higher but Sharpe and drawdown both keep degrading.",Reverse the 30%-activation detour; adopt STOP_LOSS_PCT=0.20 with TRAIL_ACTIVATION_PCT=0.50 as the 30-day-primary configuration.
2026-09-12 20:11,"An independent, entry-date-ordered, capital-constrained simulator built for validation disagreed with the production numbers (113.7%/1.986 vs. reported 132.3%/2.088), despite zero trades ever being skipped for lack of cash.",Audited simulate_dynamic() in portfolio_simulator.py.,"Found it sized every trade using equity computed in exit-date order, letting a trade's size be inflated by a different trade that entered later but happened to close first, a look-ahead in the compounding schedule affecting every dynamic sizing mode used all session.",Refactor portfolio_simulator.py around a shared entry-date-ordered engine (_run_entry_ordered); re-run the full pipeline to confirm the corrected numbers.
2026-09-12 20:12,config.py's stop-loss comment still cited pre-fix performance numbers.,Updated the comment text to stop citing stale figures.,Config self-documentation is now consistent with the fixed engine.,Keep in-code comments in sync with the code whenever a fix changes reported numbers.
2026-09-12 20:15,"A full code review found process_single_ticker() swallowing every exception silently (except Exception: return empty DataFrame), masking a real per-ticker bug as a legitimate no-signal result.",Added a warning print naming the ticker and the exception type/message before returning the empty frame.,"A live pipeline re-run confirmed the fix changed no numbers (113.68% return, 1.986 Sharpe, exactly as predicted) and printed zero warnings, meaning no ticker is currently failing silently.",Keep the fix; treat silent exception handling as a standing code-review check.
2026-09-13 12:00,"The assignment requires a research report, a decision log and experiment record in CSV, and an AI/source disclosure inside the repository, none of which existed yet, and the original sweep scripts had only ever run in a temporary scratchpad that has since been cleared.","Wrote research_report.md, this decision log and experiment_record.csv from specs/decision_journal.md, added an Assistance and source disclosure section to README.md, and rebuilt the exit/sizing sweep and the validation suite as committed, reusable scripts under experiments/.",Both experiment scripts reproduce the headline 30-day numbers end to end from cached data (see experiments/exit_and_sizing_results.csv and experiments/validation_results.csv).,"Hold everything unstaged for review before any commit, per explicit instruction."
