experiment_id,hypothesis_version,asset_universe,historical_period,data_and_features,model_or_rule,key_parameters,main_result,retained,rationale
EXP-01,v1: raw insider-cluster signal,16 hand-picked U.S. equities,2021-01 to 2026-01,"Form 4 filings only, no technical or fundamental filters","Enter on cluster detection, fixed 30/60/90-day hold","MIN_DISTINCT_INSIDERS=3, CLUSTER_WINDOW_DAYS=5",Looked profitable but the universe was hand-picked and tiny,N,"Selection bias: 16 tickers were chosen by eye, not discovered systematically; not trustworthy evidence either way"
EXP-02,v1: raw insider-cluster signal,"Full market, ~5,500 tickers, no filters",2021-01 to 2026-01,"Form 4 filings, adjusted daily OHLCV","Same cluster-entry rule as EXP-01, run market-wide",Same as EXP-01,"Near-zero Sharpe, max gain +33,580% (a data artifact)",N,"Unadjusted stock splits corrupted raw prices on several tickers, producing absurd outlier trades; result not usable until a data-quality guard exists"
EXP-03,"v1, with a $5 price floor","Full market, MIN_PRICE=5.0",2021-01 to 2026-01,"Form 4 filings, adjusted daily OHLCV","Same cluster-entry rule, price floor added",MIN_PRICE=5.0,"Split-corruption outliers gone, but mean return and Sharpe flat-to-negative on 60/90-day holds",N,Fixed the data-quality bug but exposed that the signal itself had no real edge yet; a price floor alone was not the fix
EXP-04,"v1, with cluster-value floor and entry trailing stop","Full market, cluster value >= $100k",2021-01 to 2026-01,"Form 4 filings, adjusted daily OHLCV",Cluster-entry rule + trailing stop from entry,"MIN_CLUSTER_VALUE=100000, trailing_stop=True","Noise trades cut 87%, but mean return and Sharpe negative at every holding period; win rate decayed 30->90 day",N,"Root cause: insiders are contrarian buyers, so trend logic fights the signal; a trailing stop from entry whipsaws on the gap-downs common in this universe"
EXP-05,v2: Tier-1/Tier-2 refined signal,"Full market, real Massive data",2021-01 to 2026-01,Form 4 + opportunistic-vs-routine classification (Cohen/Malloy/Pomorski) + conviction sizing,Cluster-entry rule with routine buys excluded,"ROUTINE_MIN_YEARS=3, CONVICTION_SIZE_MULTIPLIER=1.5",First real-data run with all Tier-1/Tier-2 filters active still returned negative Sharpe at every holding period,N (superseded),Filters are directionally correct per the literature but not sufficient alone; the exit rule (still trailing-stop-only at this point) was the bigger problem
EXP-06,"v2 + short-interest overlap, MIN_DAYS_TO_COVER sweep",Full market,2021-01 to 2026-01,+ FINRA short-interest days-to-cover,Cluster-entry rule + short-interest overlap filter,"MIN_DAYS_TO_COVER in {1.0, 2.0, 3.0, 5.0}",2.0 won on both train and test Sharpe; became the standing default,Y,"Insider buying against a crowded short is a stronger contrarian signal than insider buying alone, and 2.0 generalized out of sample"
EXP-07,"v2, exit-mechanic sweep","Full market, MIN_DAYS_TO_COVER=1.0 (pre-EXP-06)",2021-01 to 2026-01,Same signal as EXP-05,"4 exit variants at 15%/30%: trail-only, trail+take-profit, fixed-stop+take-profit, fixed-stop-only","stop_loss_pct=0.15, take_profit_pct=0.30",Fixed stop-loss + take-profit (no trailing) was the only variant positive at every holding period,Y,"This became the first configuration with a real, sign-consistent edge; adopted as STOP_LOSS_PCT=0.15, TAKE_PROFIT_PCT=0.30, TRAILING_STOP=False"
EXP-08,v2 + transaction costs,Full market,2021-01 to 2026-01,Same as EXP-07,"Same exit rule, 20 bps round-trip cost added",TRANSACTION_COST_PCT=0.002,Edge shrank substantially but stayed positive at every holding period,Y,Realistic costs are mandatory for the result to mean anything; 0.002 kept as the standing assumption for every later experiment
EXP-09,"v2, walk-forward check",Full market,"Train <=2024-06-30, Test >=2024-07-01",Same as EXP-08,"Same exit rule, train/test split by entry date",MIN_DAYS_TO_COVER=1.0 (pre-EXP-06),"Mixed and weak, at or below the noise floor",N (superseded),Edge was not yet convincingly out-of-sample; treated as unconfirmed pending further refinement
EXP-10,"v2, walk-forward re-check after EXP-06",Full market,"Train <=2024-06-30, Test >=2024-07-01",Same as EXP-08 + MIN_DAYS_TO_COVER=2.0,Same exit rule,MIN_DAYS_TO_COVER=2.0,Edge held its sign on both train and test for the first time in the project,Y,Upgraded the read from leans-toward-noise to a real but weak edge; justified moving on to universe/liquidity filters
